codigo,descricao
4.09.00000000636,PISTOLA ELETRICA 600w PARA PINTURA
4.09.00000000637,CARCAÄA DO ARRANQUE COM DISPOSITIVO MS382
4.09.00000000638,KIT ALICATE GAXETA
4.09.00000000639,DILUIDOR MANUAL - 16L
4.09.00000000640,CHAVE DE JUNTA MANUAL
4.09.00000000641,PONTEIRAS DE ACO MANUAL 
4.09.00000000642,ALAVANCA LISA E SUPREMA RETA 1.1/4 X 1,70M
4.09.00000000643,EXTRATOR E INSERSOR DE GRAMPO PANDROL 
4.09.00000000644,MEDIDOR DE DESGASTE DE TRILHO CR175
4.09.00000000645,JOGO DE CHAVE CANHAO DE 03 A 14M 
4.09.00000000646,ALICATE DESENCAPADOR DE FIOS 1,0 A 16,0MM VONDER
"4.09.00000000647,CHAVE DE BOCA AJUSTAVEL 08"""
4.09.00000000648,ESMERILHADEIRA DE 9 2500W GWS25/230 18F3.0E0 220V
4.09.00000000649,JOGO CHAVE ESTRELA 06 A 22MM 08 PECAS
4.09.00000000650,LIXADEIRA A BATERIA 4/5 POLEGADA 24A
4.09.00000000651,MAQUINA DE SOLDA ESAB INVERSORA ORIGOARC 3001
4.09.00000000652,REBITADOR ALAVANCA 17
4.09.00000000653,SOQUETE IMPACTO DIF 1X2.1/4
4.09.00000000654,CAIXA DE FERRAMENTAS 50X35X40
4.09.00000000655,SISTEMA DE MEDICAO POR LASER DO NIVELAMENTO - OPAL MINI
4.09.00000000656,VISOR OTICO PARA ALINHAMENTO E NIVELAMENTO DE VIA VPK13000
4.09.00000000657,FURADEIRA DE TRILHO
4.09.00000000658,SACA HUB
4.09.00000000659, SOCADOR / VIBRADOR VERTICAL PORTATIL BM035 / VPS NEO
"4.09.00000000660,CHAVE IMPACTO PNEUM. 1"" TIPO RETA 316KGFM 3600 RPM 1/2 NPT"
"4.09.00000000661,CHAVE IMPACTO PNEUMATICA 1/2"""
"4.09.00000000666,SARGENTO 6"""
4.09.000000006X5,CONTAINER MODULO ALMOXARIFADO ACLOPADO 6 X 5 M
4.09.00000000701,PULVERIZADOR AGRICOLA COSTAL MANUAL 20L
4.09.00000000702,PISTOLA P/ APLICAÄ«O DE MATERIAL DENSO 13A MARCA ARPREX
4.09.00000000703,PISTOLA PARA PINTURA HVLP GRAVID C/ CANECA DEVILBISS SGK-600RT
4.09.00000000717,GUINCHO HIDRAULICO TIPO GIRAFA 1 TONELADA
4.09.00000000778,ASPIRADOR DE P‡ PORTATIL 12V 60W
4.09.00000000781,APLICADOR UNIVERSAL DE HELICOIDAL
4.09.00000000782,HELICOIL M14X1,25X9V
4.09.00000000783,MACHO 2 ROSCAS POSTIÄAS M14X1,25
4.09.00000000784,MACHO MANUAL JG 3PÄS M14X1,25
4.09.00000000864,BASE DE MACACO
4.09.00000000871,FURADEIRA BANCADA 5/8 FSB, 220V
4.09.00000000872,LANTERNA ANTI-EXPLOSAO 2 PILHAS
4.09.00000000873,MOTOCOMPRESSOR AR BP C/RODIZIO 8,5PCM-25L MC8,5-BIVOLT CHIAPERINI
4.09.00000000874,COLUNA MOTOESMERIL 16001 CEL
4.09.00000000875,CAIXA PARA PEÄAS MARFINITE 1030
4.09.00000000876,BIGORNA DE 14KG - FBM
4.09.00000000877,GAL«O BOMBONA PLµSTICO DE 50 LITROS
4.09.00000000878,GAL«O BOMBONA PLµSTICO DE 200 LITROS
4.09.00000000879,DEIONIZADOR DE AGUA
"4.09.00000000888,SARGENTO 8"""
4.09.00000000889,MACACO HIDRAULICO LONGO TIPO JACARE - CAP. 20 TON.
4.09.00000000985,CARRO PANTOGRAFICO
4.09.00000000999,BROCA AR 2,5 MM
4.09.000000009GH,DESFORCIMETRO 780KGF. REF. TC-78 EDA 9GH
4.09.00000000JR7,GALAO CONTAINER DE SEGURANÄA PARA OLEO 20L
4.09.00000000M4T,MACACO HIDRµULICO 4T PARA EMPILHADEIRA M4000 BOVENAU
4.09.00000000N23,CHAVE SEXTAVADA PE DE GALINHA (BUJ«O DE CAMBIO ) Nß 23
4.09.00000000N50,MARCADOR NUMERICO P/ PNEUS EMEB N-50 220V
4.09.00000000N9B,KIT SUPER UTIL PARA TOMADAS DE PRESSÂES N9B
4.09.00000001000,BROCA AR 2 MM
4.09.00000001001,ESCOVA LIMPA POLO E TERMINAL DE BATERIA - LIMPA BORNE
4.09.00000001029,PE DE CABRA 60CM 
4.09.00000001052,REDUCAO/ADAPT GEDORE 3/8 X 1/2 3019 - MARCA:GEDORE
"4.09.00000001053,REDUÄ«O 1/2"" X 3/8"""
4.09.00000001139,BROCA DE VIDIA 10MM
4.09.00000001141,CHAVE BOCA GEDORE 1.7/8 X 2
4.09.00000001159,PARABOLT 10 MM
"4.09.00000001160,TRINCHA DE 3/4"""
4.09.00000001348,CHAVE ESTRIA ABERT GED 24 X 27 MM 400
4.09.00000001350,CHAVE ESTRIA ABERT GED 30 X 32 MM 400
4.09.00000001351,CHAVE ESTRIA ABERT 22 X 24 MM 400
4.09.00000001356,BAST«O BALIZADOR ARTICULADO
4.09.00000001357,PONTEIRA PARA BAST«O BALIZADOR
4.09.00000001387,MACACO HIDR. GARRAFA 04 TON STARFER
4.09.00000001474,PORCA NY MA M16
4.09.00000001500,MICROMETRO ZAAS 0-150
4.09.00000001515,BOMBA MANUAL P/ GRAXA 5 KGS
4.09.00000001530,EXTENSAO ELETRICA PP 2X1,5X20MT REF: 1530 DANEVA
4.09.00000001578,ALICATE PRENSA TERMINAL 0,5A6MM2 Y10/22
4.09.00000001582,KIT REPARO PNEU SEM CAMARA
4.09.00000001732,CONJUNTO LUBRIFIL 1/2 - COMPLETO
4.09.00000001798,PE DE CABRA 45CM GUEPAR
4.09.0000000182F,BICO ENGRAXADEIRA BOMBA GRAXA FINO 1/8''
4.09.00000001846,EXTENS«O 4 TOMADAS, DANEVA DN1846, PRETO 4 ENTRADAS CABO 3M 10A/250V(BIVOLT)
"4.09.00000001912,SOQUETE SEXTAVADO DE 1/2"" DE 1/2"""
"4.09.00000001934,SOQUETE SEXTAVADO DE 1/2"" DE 3/4"
"4.09.00000001938,SOQUETE SEXTAVADO DE 1/2"" DE 3/8"
"4.09.00000001958,SOQUETE SEXTAVADO DE 1/2"" DE 5/8"""
"4.09.00000001978,SOQUETE SEXTAVADO DE 1/2"" DE 7/8"""
4.09.00000001B38,CHAVE COMBINADA 38 MM
4.09.00000002000,SOQUETE HEXAGONAL / ALLEN 4 MM COM ENCAIXE DE 1/2'
4.09.00000002001,LAVADORA DE ALTA PRESSAO 200 BAR 3000 PSI 15L/MIN VAZAO TRIFASICO
4.09.00000002115,EXTENSAO RIGIDA FLEXIVEL PARA GALOES DE METAL
4.09.00000002130,FUNIL CANO RETO GRANDE REF: 2130
4.09.00000002215,GALAO PARA COMBUSTIVEL EM METAL 20L
4.09.00000002515,CHAVE COMBINADA 20 MM
4.09.00000002527,CHAVE DE BOCA 41MM
4.09.00000002529,CHAVE DE BOCA 50MM
4.09.00000002539,CHAVE COMBINADA 29 MM REF. GEDORE 1 B - 29
4.09.00000002546,CHAVE DE BOCA 48MM
